wallet	avg_apr	total_pos_number	total_positions_earn_fees	total_fees_collected_usd	top_3_apr	top_10_apr	max_apr	min_apr	avg_hold_time
0x349bdE5C8Ea8E4843c0afC2B4Ee6832D8AB397bE	60.87	2	2	60.58	66.98/54.76	66.98/54.76	66.98	54.76	370.67
0xcB06AE95Fb8a90117c749e2a6476c5C4002272c5	60.08	5	5	2.02	98.41/88.21/59.92	98.41/88.21/59.92/35.06/18.81	98.41	18.81	49.30
0x5d94F5f43ba25647E85eC31CFA69ddd2CfE90136	58.73	533	533	11219.82	121.16/118.86/117.64	121.16/118.86/117.64/116.58/116.56/116.50/116.47/116.47/116.47/116.47	121.16	24.23	0.30
0x7C6eF4Dc2a37334d757Cf3e5980B972D14Ff67d4	57.32	9	9	220.33	151.92/100.95/81.25	151.92/100.95/81.25/51.02/40.30/37.16/36.38/16.20/0.74	151.92	0.74	112.47
0xf4492Fa5431BFf881c7b94209577F40d9EB71e46	56.52	3	3	41.63	79.09/52.40/38.07	79.09/52.40/38.07	79.09	38.07	493.98
0x517A8Fd1E4562E1fa5eF5F3a3E0d9284a5a54d23	56.52	1	1	329.65	56.52	56.52	56.52	56.52	337.47
0x8233fCD712b8fEbE837eC85ee1BEd2a3d1b92baB	56.44	2	2	3.35	64.71/48.18	64.71/48.18	64.71	48.18	0.25
0x8912b578fCBB7B6f087621C268C9A943C9e0dc22	55.69	1	1	0.21	55.69	55.69	55.69	55.69	16.27
0x2425743C61E6560ce993D87411a2EFe679E7071c	55.64	1	1	2.44	55.64	55.64	55.64	55.64	265.41
0x60Cc71cceBdeE3F10eac65210f1FBB8f28e5206c	54.74	1	1	106.89	54.74	54.74	54.74	54.74	69.67
0x2737151DBFA1C58Ea5df344eFDd3FbEDb3986AFC	54.38	5	5	1285.71	88.38/83.14/77.62	88.38/83.14/77.62/12.31/10.43	88.38	10.43	112.95
0xa569862eE11260182eC90724BeF3D5615498FEa1	53.62	1	1	22.67	53.62	53.62	53.62	53.62	134.84
0x9CFd3A390A29cB95a103D03aD9C00dFE2789140A	52.74	1	1	36.99	52.74	52.74	52.74	52.74	231.17
0x861d0Ea72BCED2c5a8007f67aDE6cE8418A7C776	52.30	1	1	0.05	52.30	52.30	52.30	52.30	630.59
0xD50377AF63db4060ddFb3F4C286F18Db1aE60E93	52.27	2	2	12.48	52.89/51.66	52.89/51.66	52.89	51.66	257.12
0x117a6603c6352042045a38E54755BD384e1C4a6d	52.11	1	1	2.93	52.11	52.11	52.11	52.11	16.86
